Turns	-5	-4	-3	-2	-1	0	1	2	3	4	5	6	7	8
1	0	0	0	0	0	858	0	0	0	0	0	0	0	0
2	0	0	0	0	13	838	7	0	0	0	0	0	0	0
3	0	0	0	21	635	200	2	0	0	0	0	0	0	0
4	0	0	2	90	498	215	53	0	0	0	0	0	0	0
5	0	0	4	77	314	357	85	21	0	0	0	0	0	0
6	0	0	7	81	281	307	141	39	2	0	0	0	0	0
7	0	1	11	95	205	294	189	57	6	0	0	0	0	0
8	0	5	24	92	192	250	194	78	22	1	0	0	0	0
9	0	2	31	81	183	246	177	104	33	1	0	0	0	0
10	0	2	33	85	181	198	209	93	48	9	0	0	0	0
11	0	3	25	81	185	199	181	125	45	13	1	0	0	0
12	3	9	31	90	153	215	171	106	58	18	4	0	0	0
13	0	9	35	95	128	208	180	95	62	40	4	2	0	0
14	3	9	37	87	155	180	174	114	62	24	10	3	0	0
15	2	9	31	73	131	175	179	126	80	31	15	3	0	3
