Turns	-7	-6	-5	-4	-3	-2	-1	0	1	2	3	4	5	6	7	8	9	10
1	0	0	0	0	0	0	0	314	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	5	305	4	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	3	236	75	0	0	0	0	0	0	0	0	0	0
4	0	0	0	0	2	34	199	69	10	0	0	0	0	0	0	0	0	0
5	0	0	0	0	7	36	119	127	23	2	0	0	0	0	0	0	0	0
6	0	0	0	3	7	41	95	121	43	4	0	0	0	0	0	0	0	0
7	0	0	0	4	6	38	81	108	57	18	2	0	0	0	0	0	0	0
8	0	0	0	2	7	27	78	112	68	15	5	0	0	0	0	0	0	0
9	0	0	0	0	11	32	64	83	77	38	7	2	0	0	0	0	0	0
10	0	0	0	2	7	30	53	91	72	40	17	1	1	0	0	0	0	0
11	0	0	0	3	5	28	62	78	61	47	25	5	0	0	0	0	0	0
12	0	0	0	1	11	21	62	65	74	44	29	6	1	0	0	0	0	0
13	0	0	0	1	14	25	53	59	60	56	31	12	3	0	0	0	0	0
14	0	0	0	5	14	20	48	57	65	59	25	16	4	1	0	0	0	0
15	0	0	0	5	12	32	39	56	50	54	39	19	5	3	0	0	0	0
16	0	0	1	3	16	23	31	48	55	64	39	20	10	3	0	1	0	0
17	0	0	3	3	15	20	38	46	49	43	44	35	13	4	1	0	0	0
18	0	1	3	4	10	18	25	43	56	58	44	37	6	8	1	0	0	0
19	0	0	5	6	11	24	29	30	38	54	50	38	18	8	2	1	0	0
20	0	0	6	7	13	11	32	30	37	45	54	42	20	13	2	2	0	0
21	0	4	3	4	16	19	21	28	34	37	57	41	20	19	9	1	1	0
22	0	2	4	10	13	17	19	22	35	43	35	39	37	25	11	2	0	0
23	0	1	2	10	14	17	15	19	38	45	43	24	34	28	14	8	2	0
24	1	1	4	8	7	12	23	21	22	39	43	35	39	28	18	10	3	0
25	1	0	1	5	6	16	17	30	30	35	40	34	27	29	20	13	8	2
